id,Country,Location
EBOV-20143317-KR653282-SLE-Bombali,Sierra Leone,Bombali - Sierra Leone
EBOV-20143360-KR653258-SLE-Kenema,Sierra Leone,Kenema - Sierra Leone
EBOV-20143415-KR653248-SLE-WesternRural,Sierra Leone,WesternRural - Sierra Leone
EBOV-20143458-KR653245-SLE-Tonkolili,Sierra Leone,Tonkolili - Sierra Leone
EBOV-20143466-KR653304-SLE-Kenema,Sierra Leone,Kenema - Sierra Leone
EBOV-20143550-KR653228-SLE-Bombali,Sierra Leone,Bombali - Sierra Leone
EBOV-20143648-KR653253-SLE-Koinadugu,Sierra Leone,Koinadugu - Sierra Leone
EBOV-20143659-KR653256-SLE-Koinadugu,Sierra Leone,Koinadugu - Sierra Leone
EBOV-20143716-KR653292-SLE-Moyamba,Sierra Leone,Moyamba - Sierra Leone
EBOV-20143753-KR653236-SLE-Tonkolili,Sierra Leone,Tonkolili - Sierra Leone
EBOV-20143796-KR653257-SLE-Moyamba,Sierra Leone,Moyamba - Sierra Leone
EBOV-20143918-KR653240-SLE-WesternRural,Sierra Leone,WesternRural - Sierra Leone
EBOV-20143938-KR653264-SLE-Koinadugu,Sierra Leone,Koinadugu - Sierra Leone
EBOV-20143964-KR653242-SLE-Bo,Sierra Leone,Bo - Sierra Leone
EBOV-20144192-KR653238-SLE-Bombali,Sierra Leone,Bombali - Sierra Leone
EBOV-20144521-KR653271-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-20144610-KR653270-SLE-Tonkolili,Sierra Leone,Tonkolili - Sierra Leone
EBOV-20144819-KR653299-SLE-Moyamba,Sierra Leone,Moyamba - Sierra Leone
EBOV-20144820-KR653243-SLE-Moyamba,Sierra Leone,Moyamba - Sierra Leone
EBOV-20144837-KR653259-SLE-Bombali,Sierra Leone,Bombali - Sierra Leone
EBOV-20144865-KR653231-SLE-PortLoko,Sierra Leone,PortLoko - Sierra Leone
EBOV-20145835-KR653295-SLE-Tonkolili,Sierra Leone,Tonkolili - Sierra Leone
EBOV-20145853-KR653290-SLE-Pujehun,Sierra Leone,Pujehun - Sierra Leone
EBOV-20146001-KR653237-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-20146553-KR653224-SLE-Koinadugu,Sierra Leone,Koinadugu - Sierra Leone
EBOV-20146578-KR653281-SLE-Koinadugu,Sierra Leone,Koinadugu - Sierra Leone
EBOV-Makona-201403147-KP240931-SLE-?,Sierra Leone,Sierra Leone
EBOV-Makona-201403261-KP240932-LBR-?,Liberia,Liberia
EBOV-Makona-GE1-KP728283-SLE-WesternArea,Sierra Leone,WesternArea - Sierra Leone
EBOV-DML12033-KT357813-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML12051-KT357814-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML12116-KT357815-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML12117-KT357816-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML12120-KT357817-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML12137-KT357819-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML12194-KT357818-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML12239-KT357820-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML12260-KT357821-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML12268-KT357822-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML12458-KT357823-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML12485-KT357824-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML13828--SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML14077-KT357860-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML14163-KT357858-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML14366-KT357859-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-DML24502-KT357825-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24504-KT357826-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24506-KT357827-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24511-KT357828-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24552-KT357829-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24553-KT357830-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24573-KT357831-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24581-KT357832-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24592-KT357833-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24601-KT357834-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24604-KT357835-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24605-KT357836-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24606-KT357837-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24608-KT357838-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24611-KT357839-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24620-KT357840-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24669-KT357841-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24677-KT357842-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24683-KT357843-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24706-KT357844-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24708-KT357845-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24720-KT357846-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24758-KT357847-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24818-KT357848-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24825-KT357849-SLE-Tonkolili,Sierra Leone,Tonkolili - Sierra Leone
EBOV-DML24853-KT357850-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML24854-KT357851-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML25083-KT357852-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML25103-KT357853-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML25123-KT357854-SLE-Kenema,Sierra Leone,Kenema - Sierra Leone
EBOV-DML25180-KT357855-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML25344-KT357856-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-DML25411-KT357857-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-EM_COY_2015_023888--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-CON-10193--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-CON-10512--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-CON-10590--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-CON-10786--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-CON-11010--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-CON-8559--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-CON-8811--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-CON12930--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-EM-FORE-2015-1414--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM-FORE-2015-548--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM-FORE-2015-631--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM-FORE-2015-664--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM-FORE-2015-669--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM-FORE-2015-838--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM-FORE_2015_1160--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_013576--GIN-Coyah,Guinea,Coyah - Guinea
EBOV-EM_COY_2015_013671--GIN-Coyah,Guinea,Coyah - Guinea
EBOV-EM_COY_2015_013731--GIN-Coyah,Guinea,Coyah - Guinea
EBOV-EM_COY_2015_013795--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_013857--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_013962--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_014060--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_014098--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-EM_COY_2015_014100--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-EM_COY_2015_014102--GIN-Conakry,Guinea,Conakry - Guinea
EBOV-EM_COY_2015_014261--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_014370--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_015802--GIN-Coyah,Guinea,Coyah - Guinea
EBOV-EM_COY_2015_015815--GIN-Fria,Guinea,Fria - Guinea
EBOV-EM_COY_2015_015972--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_015980--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_015982--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_015986--GIN-Fria,Guinea,Fria - Guinea
EBOV-EM_COY_2015_016236--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_016238--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_016263--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_016267--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_016278--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_016293--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_016414--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_016449--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_016456--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_016483--GIN-Boke,Guinea,Boke - Guinea
EBOV-EM_COY_2015_016515--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_016531--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_016617--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_016642--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_016743--GIN-Boke,Guinea,Boke - Guinea
EBOV-EM_COY_2015_016800--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_017018--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_017021--GIN-Fria,Guinea,Fria - Guinea
EBOV-EM_COY_2015_017057--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_017091--GIN-Boke,Guinea,Boke - Guinea
EBOV-EM_COY_2015_017135--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_017174--GIN-Forecariah,Guinea,Forecariah - Guinea
EBOV-EM_COY_2015_017238--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_017240--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_017574--GIN-Boke,Guinea,Boke - Guinea
EBOV-EM_COY_2015_017664--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_017666--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_017787--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_017788--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_017865--GIN-Dubreka,Guinea,Dubreka - Guinea
EBOV-EM_COY_2015_022059--GIN-Forecariah,Guinea,Forecariah - Guinea
